"species_id";"species"
"1396710";"Taxus baccata L."
"1356382";"Dryopteris filix-mas (L.) Schott"
"1359825";"Roemeria hybrida (L.) DC."
"1360335";"Rosa corymbifera Borkh."
"1363993";"Potentilla reptans L."
"1361747";"Saponaria ocymoides L."
"1356079";"Rumex crispus L."
"1360450";"Salix alba L."
"1356117";"Salvia microphylla Kunth"
"1360318";"Prunus cerasus L."
"1360222";"Ranunculus repens L."
"1395765";"Salix caprea L."
"1721637";"Potentilla indica (Andrews) Th.Wolf"
"1356257";"Melilotus albus Medik."
"1395193";"Rhus typhina L."
"1356167";"Solanum nigrum L."
"1394924";"Primula vulgaris Huds."
"1361104";"Schoenoplectus lacustris (L.) Palla"
"1388692";"Podranea ricasoliana (Tanfani) Sprague"
"1395020";"Quercus cerris L."
"1396424";"Stachys byzantina K.Koch"
"1360326";"Prunus spinosa L."
"1667948";"Prunus × fruticans Weihe"
"1393331";"Jasminum nudiflorum Lindl."
"1356276";"Sambucus ebulus L."
"1394877";"Potentilla sterilis (L.) Garcke"
"1358613";"Quercus coccifera L."
"1360324";"Prunus padus L."
"1362488";"Santolina rosmarinifolia L."
"1358494";"Elaeagnus angustifolia L."
"1722409";"Salvia rosmarinus Spenn."
"1392353";"Filipendula ulmaria (L.) Maxim."
"1395253";"Rosa arvensis Huds."
"1395643";"Rumex alpinus L."
"1360792";"Scandix australis L."
"1356066";"Plantago lanceolata L."
"1360520";"Verbascum boerhavii L."
"1395935";"Sarracenia purpurea L."
"1360132";"Rumex obtusifolius L."
"1363424";"Digitaria sanguinalis (L.) Scop."
"1356975";"Silene colorata Poir."
"1364085";"Tamarix ramosissima Ledeb."
"1393536";"Lilium pyrenaicum Gouan"
"1728592";"Potentilla verna L."
"1394967";"Pseudotsuga menziesii (Mirb.) Franco"
"1393214";"Hornungia alpina (L.) O.Appel"
"1395150";"Reynoutria japonica Houtt."
"1356094";"Persicaria maculosa Gray"
"1360316";"Prunus avium (L.) L."
"1360898";"Agave americana L."
"1360322";"Prunus lusitanica L."
"1396446";"Stellaria graminea L."
"1356303";"Sanguisorba minor Scop."
"1395911";"Salvia glutinosa L."
"1391619";"Dactylorhiza viridis (L.) R.M.Bateman, Pridgeon & M.W.Chase"
"1358517";"Rhododendron ponticum L."
"1364170";"Sonchus oleraceus L."
"1370859";"Prunus serotina Ehrh."
"1395785";"Salix eleagnos Scop."
"1394250";"Opuntia humifusa (Raf.) Raf."
"1396055";"Scabiosa atropurpurea L."
"1397608";"Sambucus racemosa L."
"1396511";"Tanacetum parthenium (L.) Sch.Bip."
"1360350";"Rosa spinosissima L."
"1396797";"Tilia cordata Mill."
"1397488";"Scabiosa lucida Vill."
"1487336";"Mammillaria elongata DC."
"1358101";"Sedum caeruleum L."
"1360433";"Rubia peregrina L."
"1356115";"Salvia verbenaca L."
"1396078";"Schinus terebinthifolia Raddi"
"1356404";"Pteridium aquilinum (L.) Kuhn"
"1391319";"Colchicum bulbocodium Ker Gawl."
"1363249";"Amaranthus cruentus L."
"1396093";"Scilla bifolia L."
"1394955";"Prunus virginiana L."
"1358617";"Quercus suber L."
"1360313";"Potentilla recta L."
"1356295";"Reseda lutea L."
"1394969";"Pterocarya fraxinifolia (Poir.) Spach"
"1389058";"Santolina decumbens Mill."
"1360261";"Rhamnus alpina L."
"1357722";"Notobasis syriaca (L.) Cass."
"1396296";"Silene uniflora Roth"
"1360219";"Ranunculus peltatus Schrank"
"1360120";"Rumex acetosa L."
"1399973";"Kalanchoe daigremontiana Raym.-Hamet & H.Perrier"
"1722522";"Salicornia fruticosa (L.) L."
"1395807";"Salix herbacea L."
"1356314";"Rumex pulcher L."
"1356570";"Rhus coriaria L."
"1360443";"Ruta angustifolia Pers."
"1360193";"Ranunculus bulbosus L."
"1357805";"Pulicaria odora (L.) Rchb."
"1361829";"Satureja montana L."
"1358614";"Quercus faginea Lam."
"1395343";"Rosa rugosa Thunb."
"1363978";"Reseda luteola L."
"1729475";"Pyracantha crenulata (D.Don) M.Roem."
"1356044";"Mesembryanthemum crystallinum L."
"1397327";"Berteroa incana (L.) DC."
"1396018";"Saxifraga oppositifolia L."
"1392041";"Erigeron canadensis L."
"1355900";"Ageratum houstonianum Mill."
"1392159";"Alchemilla hybrida (L.) L."
"1395477";"Rubus fruticosus L."
"1360613";"Anthriscus cerefolium (L.) Hoffm."
"1394898";"Primula auricula L."
"1395200";"Ribes nigrum L."
"1359322";"Lotus pedunculatus Cav."
"1363772";"Acacia pycnantha Benth."
"1356082";"Rumex acetosella L."
"1360982";"Sternbergia lutea (L.) Ker Gawl. ex Spreng."
"1398197";"Saururus cernuus L."
"1395977";"Saxifraga fragosoi Sennen"
"1395952";"Saxifraga caesia L."
"1722550";"Schenkia spicata (L.) G.Mans."
"1400721";"Salvinia auriculata Aubl."
"1391408";"Cotoneaster franchetii Bois"
"1363341";"Silene noctiflora L."
"1363642";"Schinus molle L."
"1394997";"Pyrola chlorantha Sw."
"1394988";"Pulmonaria officinalis L."
"1356528";"Scleranthus annuus L."
"1396115";"Scorzonera humilis L."
"1396117";"Scorzoneroides autumnalis (L.) Moench"
"1397480";"Salvia verticillata L."
"1357314";"Bellis annua L."
"1397507";"Symphytum tuberosum L."
"1396709";"Taxodium distichum (L.) Rich."
"1395538";"Rubus macrophyllus Weihe & Nees"
"1395001";"Pyrola rotundifolia L."
"1360451";"Salix atrocinerea Brot."
"1389817";"Achnatherum bromoides (L.) P.Beauv."
"1397478";"Salix hastata L."
"1357809";"Pulicaria vulgaris Gaertn."
"1437245";"Rhinanthus major L."
"1395715";"Sagina nodosa (L.) Fenzl"
"1395982";"Saxifraga geranioides L."
"1359918";"Linaria pelisseriana (L.) Mill."
"1357697";"Leontodon hispidus L."
"1356947";"Scleranthus perennis L."
"1363191";"Salicornia europaea L."
"1393682";"Amaranthus viridis L."
"1395097";"Ranunculus kuepferi Greuter & Burdet"
"1738870";"Rubus × idaeoides Ruthe"
"1397161";"Viola lutea Huds."
"1396252";"Setaria verticillata (L.) P.Beauv."
"1395920";"Sanguisorba officinalis L."
"1363165";"Suaeda maritima (L.) Dumort."
"1392891";"Allium victorialis L."
"1360344";"Rosa moschata Herrm."
"1357129";"Helianthemum caput-felis Boiss."
"1414294";"Bidens connata Muhl. ex Willd."
"1420444";"Rosa banksiae R.Br."
"1721133";"Psammophiliella muralis (L.) Ikonn."
"1742025";"Scorzonera purpurea L."
"1737651";"Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt"
"1398310";"Saxifraga hostii Tausch"
"1363218";"Apium graveolens L."
"1362360";"Potentilla hirta L."
"1363791";"Scorpiurus muricatus L."
"1563105";"Salvia × sylvestris L."
"1743126";"Pulsatilla montana (Hoppe) Rchb."
"1395646";"Rumex arifolius All."
"1361519";"Prospero autumnale (L.) Speta"
"1396509";"Tanacetum balsamita L."
"1395936";"Satureja hortensis L."
"1359528";"Trifolium subterraneum L."
"1362353";"Parietaria officinalis L."
"1395044";"Ramonda myconi (L.) Rchb."
"1395553";"Rubus nemoralis P.J.Müll."
"1362442";"Dactylorhiza incarnata (L.) Soó"
"1741755";"Pulsatilla halleri (All.) Willd."
"1359450";"Retama monosperma (L.) Boiss."
"1360457";"Salix purpurea L."
"1394981";"Pulmonaria angustifolia L."
"1362898";"Malva multiflora (Cav.) Soldano, Banfi & Galasso"
"1360347";"Rosa pouzinii Tratt."
"1357608";"Gnaphalium uliginosum L."
"1358103";"Sedum cepaea L."
"1361394";"Rostraria cristata (L.) Tzvelev"
"1397366";"Dianthus armeria L."
"1395489";"Rubus gratus Focke"
"1359010";"Teucrium pseudochamaepitys L."
"1395953";"Saxifraga callosa Sm."
"1360352";"Rosa stylosa Desv."
"1361174";"Potamogeton perfoliatus L."
"1395351";"Rosa sherardii Davies"
"1407739";"Bromus catharticus Vahl"
"1668240";"Rosa glauca Pourr."
"1400104";"Acacia baileyana F.Muell."
"1358854";"Prunella laciniata (L.) L."
"1395991";"Saxifraga hirsuta L."
"1395602";"Rubus scaber Weihe"
"1397470";"Pseudorchis albida (L.) Á.Löve & D.Löve"
"1389627";"Micranthes stellaris (L.) Galasso, Banfi & Soldano"
"1395081";"Ranunculus fluitans Lam."
"1395852";"Salix pentandra L."
"1744243";"Salvia jordanii J.B.Walker"
"1359569";"Vicia onobrychioides L."
"1399781";"Potentilla pedata Willd. ex Hornem."
"1364108";"Mantisalca salmantica (L.) Briq. & Cavill."
"1394910";"Primula hirsuta All."
"1356435";"Pteris cretica L."
"1393823";"Mercurialis tomentosa L."
"1397545";"Rumex aquaticus L."
"1395617";"Rubus sulcatus Vest"
"1363973";"Ranunculus aquatilis L."
"1360194";"Ranunculus bullatus L."
"1420448";"Rosa majalis Herrm."
"1396405";"Spiraea salicifolia L."
"1361885";"Nicotiana alata Link & Otto"
"1395217";"Romulea rosea (L.) Eckl."
"1548459";"Quercus rotundifolia Lam."
"1357870";"Serratula tinctoria L."
"1360337";"Rosa deseglisei Boreau"
"1395120";"Ranunculus pyrenaeus L."
"1395667";"Rumex longifolius DC."
"1396177";"Sempervivum calcareum Jord."
"1739189";"Pseudopodospermum hispanicum (L.) Zaika, Sukhor. & N.Kilian"
"1518245";"Pseudognaphalium undulatum (L.) Hilliard & B.L.Burtt"
"1425474";"Ridolfia segetum (L.) Moris"
"1389311";"Rubus pruinosus Arrh."
"1432743";"Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai"
"1394886";"Potentilla valderia L."
"1743750";"Iberodes littoralis (Lehm.) M.Serrano, R.Carbajal & S.Ortiz"
"1395628";"Rubus vestitus Weihe"
"1395168";"Rhinanthus glacialis Personnat"
"1358797";"Micromeria graeca (L.) Benth. ex Rchb."
"1394326";"Orobanche alba Stephan ex Willd."
"1358511";"Erica scoparia L."
"1398644";"Psilotum nudum (L.) P.Beauv."
"1357847";"Scolymus grandiflorus Desf."
